Station	Date (Z=UTC) YYYYMMDDZ	Latitude	Longitude	CAST – Z00-Z10	CAST – Z00-D1	CAST – Z00-D2	CAST – Z00+Z01+Z05	CAST – Z01+Z03+Z05	CAST – Z02+Z04+Z06	CAST – Z02+Z04+Z06.1	CAST – Z07	CAST – Z08	CAST – Z09	CAST – Z10
1	20210220	-50.89833333333333	-74.27833333333334	1	1	0	1	1	0	0	0	0	0	0
2	20210222	-50.70166666666667	-74.57333333333334	1	1	0	1	1	0	0	0	0	0	0
3	20210224	-50.56678333333333	-74.80155	1	1	0	1	1	0	0	0	0	0	0
5	20210226	-50.471666666666664	-76.19666666666667	1	1	0	1	1	0	0	1	1	1	1
5a	20210226	-50.4761	-75.96195	0	0	0	0	0	0	0	0	0	0	0
5b	20210226	-50.46013333333333	-75.3556	0	0	0	0	0	0	0	0	0	0	0
4	20210228	-50.50183333333333	-75.015	1	1	0	1	1	0	0	0	0	0	0
6	20210303	-48.13666666666666	-73.46833333333333	1	1	1	1	1	0	0	0	0	0	0
7	 20210305	-47.985	-73.795	1	1	1	1	1	0	0	0	0	0	0
8	 20210306	-47.7675	-74.60683333333333	1	1	1	1	1	0	0	0	0	0	0
9	 20210314	-41.865433333333335	-73.2463	1	1	1	1	1	0	0	0	0	0	0
9a	20210314	-41.92066666666667	-73.06483333333334	0	0	0	0	0	0	0	0	0	0	0
10	 20210315	-41.74166666666667	-72.70783333333333	1	1	1	1	1	0	0	0	0	0	0
11	 20210317	-41.55133333333333	-72.32583333333334	1	1	1	1	1	0	0	0	0	0	0
12	20210322	-41.69833333333333	-74.12833333333333	1	1	1	1	1	0	0	0	0	0	0
13	20210324	-41.486666666666665	-74.65166666666667	1	1	1	1	1	0	0	1	1	1	0
14	20210325	-39.93666666666667	-74.73266666666666	1	1	1	1	1	0	0	1	1	1	0
15	20210326	-40.096666666666664	-74.41833333333334	1	1	1	1	1	0	0	1	1	1	0
16	20210328	-40.10166666666667	-74.02833333333334	1	1	1	1	1	0	0	1	0	0	0
17	20210331	-36.983333333333334	-73.91166666666666	1	1	1	1	1	0	0	1	1	1	0
18	20210401	-36.81333333333333	-73.44333333333333	1	1	1	1	1	0	0	1	1	1	0
19	20210402	-36.725	-73.73333333333333	1	1	1	1	1	0	0	1	1	1	0
20	 20210403	-36.65	-74.11166666666666	1	1	1	1	1	0	0	1	1	1	0
21	20210411	-36.48166666666667	-73.67833333333333	1	1	1	1	1	1	0	0	0	0	0
22	20210411	-35.568333333333335	-73.49166666666666	0	0	0	0	0	0	0	0	0	0	0
24	20210413	-34.62166666666667	-72.365	1	1	1	1	1	1	0	0	0	0	0
25	20210414	-34.39671666666667	-72.64166666666667	1	1	1	1	1	1	0	0	0	0	0
26	20210415	-34.09976666666667	-72.84766666666667	1	1	1	1	1	1	0	0	0	0	0
27	20210417	-33.53295	-71.775	1	1	1	1	1	1	0	0	0	0	0
28	20210418	-33.36801666666667	-72.2191	1	1	1	1	1	1	0	0	0	0	0
29	20210419	-33.11305	-72.41666666666667	1	1	1	1	1	1	0	0	0	0	0
30	20210428	-29.211983333333333	-72.03516666666667	1	1	1	1	1	1	0	0	0	0	0
31	20210501	-26.188666666666666	-71.586	1	1	1	1	1	1	0	0	0	0	0
32	20210505	-22.059333333333335	-71.13416666666667	1	1	1	1	1	1	0	0	0	0	0
33	20210507	-20.353366666666666	-71.322	1	1	1	1	1	1	0	0	0	0	0
34	20210508	-20.248416666666667	-70.311	1	1	1	1	1	1	0	0	0	0	0
Extra 1	20210430	-27.228533333333335	-71.01283333333333	0	1	0	0	0	0	0	0	0	0	0
Extra 2	20210506	-21.153233333333333	-70.6467	0	1	0	0	0	0	0	0	0	0	0
